replication,call_started,call_answered,call_ended,call_type
1,16666.334040475598,16666.334040475598,17035.729069264584,2
1,17506.6595857348,17506.6595857348,17591.385818018072,2
1,17197.94494430116,17197.94494430116,17789.633463139045,2
1,17297.18255472615,17297.18255472615,17796.96541850003,2
1,17855.661987075215,17855.661987075215,17884.55752723937,2
1,17846.10843097788,17846.10843097788,18057.248837039293,2
1,18057.457353327896,18057.457353327896,18181.024089284994,1
1,18418.022625825528,18418.022625825528,18567.53386291891,2
1,18475.91733397116,18475.91733397116,18866.993309558497,1
1,18662.87171763479,18662.87171763479,18872.795634532824,1
1,18750.882462008845,18750.882462008845,18880.668382579202,2
1,18755.656454664848,18866.993309558497,18960.93237777136,1
1,18161.801009663075,18161.801009663075,19166.97557540742,0
1,19299.21002657387,19299.21002657387,19465.952974787815,0
1,19715.978013025513,19715.978013025513,19966.296014457024,2
1,19894.711512767226,19894.711512767226,20201.435811176347,1
1,19893.88435331827,19893.88435331827,20248.686160458386,1
1,20078.843478138686,20078.843478138686,20286.167035655064,0
1,19656.306011124987,19656.306011124987,20315.09781507251,2
1,20692.31679339253,20692.31679339253,20754.69733261593,2
1,20767.772397182587,20767.772397182587,20816.877904168225,2
1,20690.09736529265,20690.09736529265,20854.193593346623,2
1,20584.623606231147,20584.623606231147,20856.555695845167,2
1,20373.18166810485,20373.18166810485,21161.03080726302,2
1,21157.770954203756,21157.770954203756,21212.87123828296,0
1,21160.194070897694,21160.194070897694,21705.565851601314,1
1,21513.936703020463,21513.936703020463,21762.84524175503,1
1,21809.31832265997,21809.31832265997,22049.805502866457,1
1,22119.694368895172,22119.694368895172,22554.559570776804,1
1,22940.644495775003,22940.644495775003,23026.88023495688,1
1,23202.723222093613,23202.723222093613,23635.320650906146,0
1,23756.1498485779,23756.1498485779,24005.591355871802,1
1,23724.12113731851,23724.12113731851,24025.949355909044,1
1,24201.96026403428,24201.96026403428,24231.775004080493,0
1,24155.919516865877,24155.919516865877,24323.235048756425,2
1,24075.372856227023,24075.372856227023,24639.449854825823,0
1,24609.519279022676,24609.519279022676,24687.926981239103,1
1,24555.008040377594,24555.008040377594,24702.55823723767,1
1,25233.75484533729,25233.75484533729,25508.42962823785,1
1,25695.424637068387,25695.424637068387,25767.326036013765,2
1,24917.825316014732,24917.825316014732,25929.871348502857,2
1,26111.053948726625,26111.053948726625,26295.139610526054,2
1,25514.437362330755,25514.437362330755,26296.99641969215,1
1,27071.480832203753,27071.480832203753,27075.800015350305,1
1,27081.344181276025,27081.344181276025,27526.106344642405,0
1,28458.084457559646,28458.084457559646,28935.101820748685,1
1,29063.71059753897,29063.71059753897,29172.164925143745,1
1,29244.521918697243,29244.521918697243,29723.169863229963,1
1,30085.525774600355,30085.525774600355,30127.6047830353,0
1,30099.502181584146,30099.502181584146,30157.23247603957,0
1,30091.034110332694,30091.034110332694,30203.679268760527,2
1,29922.423187367003,29922.423187367003,30568.97487493728,1
1,30673.298772762624,30673.298772762624,30751.765451997355,1
1,30525.19438491107,30525.19438491107,30885.29108904053,1
